separated	0.39890963	97
separated	0.39890963	97
compositions	0.39908478	98
released	0.3992226	97
released	0.3992226	97
released	0.3992226	97
to the last	0.39923018	96
considerably	0.3994314	98
considerably	0.3994314	98
jehovah´s	0.39950278	99
afford	0.39950377	100
named after	0.39952782	96
subsequently	0.39958185	95
influenced	0.39986372	95
influenced	0.39986372	95
influenced	0.39986372	95
influenced	0.39986372	95
easier	0.40013117	96
supposedly	0.4001376	99
shoot	0.40017733	95
shoot	0.40017733	95
constantly	0.4006136	94
constantly	0.4006136	94
goes up	0.40066957	100
renunciation	0.40072587	99
spread	0.40077865	96
spread	0.40077865	96
spread	0.40077865	96
spread	0.40077865	96
spread	0.40077865	96
abscence	0.40080038	95
weldings	0.4008325	98
virtually	0.40083715	99
high	0.40092885	92
high	0.40092885	92
high	0.40092885	92
high	0.40092885	92
high	0.40092885	92
high	0.40092885	92
high	0.40092885	92
high	0.40092885	92
high	0.40092885	92
high	0.40092885	92
high	0.40092885	92
laid	0.4011559	95
laid	0.4011559	95
restraint	0.40118235	94
supported	0.40145436	100
supported	0.40145436	100
supported	0.40145436	100
supported	0.40145436	100
maintain	0.40165544	95
decided	0.40169913	97
decided	0.40169913	97
decided	0.40169913	97
decided	0.40169913	97
decided	0.40169913	97
as well as	0.4018754	99
as well as	0.4018754	99
defeat	0.40188912	98
many a	0.40194407	97
divided	0.4020521	95
divided	0.4020521	95
divided	0.4020521	95
divided	0.4020521	95
divided	0.4020521	95
divided	0.4020521	95
shaped	0.4021029	98
opposition	0.402135	98
materials	0.40227932	93
materials	0.40227932	93
materials	0.40227932	93
turned out	0.40232086	98
during	0.40232334	98
during	0.40232334	98
worshiped	0.4024433	96
especially	0.40258807	93
especially	0.40258807	93
completely	0.40260962	99
completely	0.40260962	99
completely	0.40260962	99
completely	0.40260962	99
completely	0.40260962	99
of each other	0.40265846	95
alerted	0.4027514	94
acquired	0.40278876	99
acquired	0.40278876	99
acquired	0.40278876	99
acquired	0.40278876	99
live together	0.40290874	97
national socialistic	0.4029633	94
reached	0.40300295	94
reached	0.40300295	94
reached	0.40300295	94
reached	0.40300295	94
reached	0.40300295	94
reached	0.40300295	94
of coast	0.40321395	97
powerful	0.4033796	94
sports verein	0.4035176	98
treated	0.40384898	100
sacrifice	0.40400353	99
finding,discovery	0.4040826	95
eroticism	0.40412384	99
futher	0.4041473	97
furor	0.4042444	98
terror	0.40425828	90
corpse	0.40426946	98
worse	0.40429425	98
produced	0.40430665	96
produced	0.40430665	96
produced	0.40430665	96
produced	0.40430665	96
produced	0.40430665	96
produced	0.40430665	96
operated	0.404478	98
operated	0.404478	98
operated	0.404478	98
towards	0.40465814	98
expected	0.4046777	98
expected	0.4046777	98
expected	0.4046777	98
expected	0.4046777	98
expected	0.4046777	98
financed	0.4048764	97
addiction	0.40500745	99
addiction	0.40500745	99
dominance	0.40509853	100
artificial	0.40511015	96
erlöschen	0.40512115	96
seems	0.40514058	95
seems	0.40514058	95
investigated	0.40545908	96
dismantled	0.40555024	96
belonged to	0.40569028	97
sale to pay	0.4057854	97
hidden	0.4058142	96
helmsmen	0.40605158	95
eventually	0.40610808	93
accompanied	0.4061384	94
accompanied	0.4061384	94
accompanied	0.4061384	94
dealt	0.4063018	95
strengthened.	0.40632913	97
efforts	0.40643042	98
efforts	0.40643042	98
homosexual	0.4064784	98
homosexual	0.4064784	98
carried out	0.40650827	97
carried out	0.40650827	97
carried out	0.40650827	97
been	0.40662825	92
been	0.40662825	92
more frequent	0.40665895	95
grew	0.4066834	97
bring down	0.40673012	96
to be oriented	0.4067482	95
since then	0.40679213	99
since then	0.40679213	99
forced	0.40680578	99
situations	0.40702823	98
well-known	0.4070427	94
well-known	0.4070427	94
enormous	0.40705585	99
enormous	0.40705585	99
enormous	0.40705585	99
displayed	0.40720946	95
step into	0.40722385	98
constrain	0.4072568	93
fought	0.40730068	96
fought	0.40730068	96
fought	0.40730068	96
bought	0.4073592	94
asks	0.40744945	94
escape	0.4075426	96
escape	0.4075426	96
observer	0.40759787	94
saves	0.4076296	94
saves	0.4076296	94
opens	0.4076695	97
main focus	0.40773684	98
of century	0.40777004	94
difficult	0.407906	95
